metro	country	region	ismetro	location.code	gdpusc_2000	gdpusc_2001	gdpusc_2002	gdpusc_2003	gdpusc_2004	gdpusc_2005	gdpusc_2006	gdpusc_2007	gdpusc_2008	gdpusc_2009	gdpusc_2010	gdpusc_2011	gdpusc_2012	gdpusc_2013	gdpusc_2014	gdpusc_2015	gdpusc_2016	gdpusc_2017	gdpppp_2000	gdpppp_2001	gdpppp_2002	gdpppp_2003	gdpppp_2004	gdpppp_2005	gdpppp_2006	gdpppp_2007	gdpppp_2008	gdpppp_2009	gdpppp_2010	gdpppp_2011	gdpppp_2012	gdpppp_2013	gdpppp_2014	gdpppp_2015	gdpppp_2016	gdpppp_2017	poptot_2000	poptot_2001	poptot_2002	poptot_2003	poptot_2004	poptot_2005	poptot_2006	poptot_2007	poptot_2008	poptot_2009	poptot_2010	poptot_2011	poptot_2012	poptot_2013	poptot_2014	poptot_2015	poptot_2016	poptot_2017
Abu Dhabi	UAE	Middle East and Africa	1	AEM01	71222.15536	73073.80232	72797.04293	78886.96747	87393.14769	93612.16707	99954.08995	97164.40654	96722.62545	89221.07178	88762.80518	92772.12401	96688.75066	102438.6915	107992.8494	111631.0967	115089.8309	119459.3583	74193.75591	87779.28548	90269.43336	103799.2787	126076.2701	147725.8444	170351.0877	166228.9721	177346.7106	157576.3338	162242.3513	178752.8196	188807.0825	202767.2119	218758.1649	223951.404	232557.2203	252607.6376	682.6919444	712.0322351	748.7680784	795.780583	866.734675	919.792116	1045.957226	1194.698719	1348.520433	1495.412886	1765.876555	1956.562157	1926.910324	1963.040768	2044.446354	2069.821667	2046.709408	2108.635447
Ahmedabad	India	Emerging Asia-Pacific	1	INM08	5326.523414	5416.320692	5948.118613	6512.496475	7383.153389	8349.687535	9322.136828	10534.22158	11798.84486	13112.784	14590.01851	15714.73488	17823.08216	19206.79783	20942.34945	23183.22738	25173.86732	26619.37454	19378.11959	20775.19671	22816.55186	25689.4031	29092.70693	33509.14884	37746.7289	42628.44284	45382.00955	50561.42795	54771.86609	59640.35445	68351.4663	72868.53501	79780.20429	86107.43445	93480.04843	100326.7883	4762.581812	4912.912	5042.72883	5175.64564	5311.970186	5451.01325	5593.582339	5739.48945	5889.070249	6041.555606	6197.835394	6357.693	6577.871662	6805.675653	7041.368189	7265.980941	7491.27548	7714.766104
Alexandria	Egypt	Middle East and Africa	1	EGM02	13750.86653	14286.35551	14662.31367	15125.03669	15724.71977	16445.3663	17622.96462	19721.47643	20978.17628	21920.69348	21894.75215	22394.57422	23104.72098	23038.34114	23898.14458	25311.07442	26336.22395	27419.42907	46762.70038	50304.18394	53068.8963	55834.90298	60125.13412	64966.63908	71727.2527	81712.72849	89635.58976	93602.54778	93957.39452	98024.45855	102750.9678	105339.2316	111008.8352	118522.2306	124505.0222	122714.2102	3681.181749	3766.708186	3852.234623	3918.764049	3987.89556	4057.268025	4123.869	4382.141515	4459.320236	4542.066137	4629.948869	4704.698065	4799.965928	4897.162371	4996.327841	5085.064924	5175.761453	5268.622847
Algiers	Algeria	Middle East and Africa	1	DZM01	12796.40384	13153.57719	13972.22333	14777.48299	15412.18717	16448.78589	16859.64074	17637.73711	18254.67829	18380.94307	18933.39766	19148.12999	19662.43012	20204.37423	20972.15382	21653.90142	22355.17268	22856.25186	32513.32229	34449.56446	37170.78455	40070.07497	42968.8431	47301.27007	49828.20193	53535.74661	56235.72007	57961.36006	60273.38164	62780.18109	65336.40981	68074.54339	71749.99848	75391.61587	80033.0379	82358.98919	2647.5714	2690.1431	2732.7148	2775.2865	2817.8582	2860.4299	2903.0016	2945.5733	2988.145	3026.484446	3065.369653	3104.755248	3144.64627	3185.051544	3225.97485	3269.669819	3318.015737	3372.337304
Almaty	Kazakhstan	Eastern Europe and Central Asia	1	KZM01	11281.79952	12756.27977	14014.39602	15486.96694	17173.33197	18898.39383	20999.40271	23060.87139	24104.16328	24427.87771	26925.15397	28879.6984	31196.553	32986.92888	34493.2407	35327.97502	35765.77797	37146.45419	21921.54809	26154.78531	30638.04618	33717.36688	37611.24378	42917.02334	50116.87902	57406.97435	58677.65663	64892.69916	70677.29436	74467.5084	80746.3255	86732.75103	91778.06942	99032.72975	103130.2612	106934.7706	1129.599	1130.5915	1141.0325	1162.4245	1192.3465	1228.6905	1267.571	1305.9925	1344.922	1384.7	1410.052022	1435.287449	1460.522877	1505.656444	1551.942594	1599.473527	1641.700851	1685.266002
Ankara	Turkey	Eastern Europe and Central Asia	1	TRM02	46161.25622	43858.47724	46530.50338	48773.26232	53081.0642	58402.82528	63052.25867	68384.95842	68629.66654	66032.04339	68711.46295	74359.43825	75784.00925	82509.42307	85659.17934	89971.89263	93162.16373	98429.08979	66026.23131	64233.39823	67998.86947	72791.49296	82095.87952	93483.1927	104950.7422	116801.1989	119783.2301	116314.9268	121707.9355	134493.4771	139909.1944	155428.2057	163867.0251	173752.3515	182755.4125	195322.3367	3946.101317	4004.787	4063.361198	4121.610904	4179.342419	4259.005805	4336.355387	4412.056314	4487.40125	4586.229575	4699.565352	4815.526432	4909.117887	5001.350447	5119.246564	5249.086482	5333.135372	5429.405982
Anyang, Henan	China	Emerging Asia-Pacific	1	CNMA5	5209.259838	5652.046924	6296.380273	7177.873511	8319.1554	9550.390399	11062.2172	13064.47851	14782.45744	16467.65758	18690.79136	20971.0679	22522.92693	24200.88498	26306.36198	28253.03276	30550.33519	32486.79191	9465.258778	10361.87027	11681.54753	13434.39392	16541.14199	19742.63776	22696.50923	27020.10536	32710.61527	35793.17547	39614.38919	42215.24479	44255.22348	47288.41394	50662.38655	56372.05941	61454.28125	66534.55881	5367.192267	5350.943492	5333.266385	5314.601085	5295.421614	5276.120025	5256.675704	5236.840726	5216.560695	5195.77576	5174.550261	5135.045224	5114.785574	5088.567492	5083.538522	5119.783386	5150.462403	5150.898616
Athinai	Greece	Western Europe	1	ELM01	120994.0213	126448.0463	132639.6817	140215.7997	148516.0866	150538.6553	160799.8925	167330.4861	167648.0573	161697.2175	152277.806	137453.0547	126282.2363	122673.3372	123347.3723	122793.582	122718.1944	124470.9062	99383.8228	105612.8336	113502.6206	122402.0426	134322.8537	140416.4899	155146.0293	165356.6563	168361.7583	164408.1563	157433.953	145686.8056	136673.4515	134527.8995	136880.9903	137166.7565	139152.5631	143308.0553	3859.060724	3882.027796	3905.567	3926.0645	3944.0235	3962.117	3977.0215	3986.6645	3995.092	4001.164	3997.8915	3976.484819	3935.439619	3887.2923	3843.303	3802.0585	3776.736462	3767.456907
Atlanta-Sandy Springs-Roswell, GA	United States	North America	1	USM01	249263.3857	252192.8866	253031.2317	257343.5906	263870.6222	275007.5143	281600.8215	290635.2983	283628.3362	269567.5355	269933.0427	274606.7085	278526.5866	288518.0242	300805.1487	311786.7411	324028.0757	334942.6413	206199.0701	213484.0564	217838.6242	224653.3203	235696.0502	251749.5824	265102.6457	279930.8851	277877.034	269567.5355	272305.2625	280668.0829	291487.2354	307877.0099	327621.2748	347913.859	368105.2511	386344.9508	4274.858813	4387.448313	4478.210125	4562.37075	4650.2115	4760.06325	4910.0715	5047.61975	5155.06775	5231.51025	5296.4495	5365.4145	5441.47775	5510.56025	5594.995	5687.2245	5778.6075	5877.7025
Auckland	New Zealand	Advanced Asia-Pacific	1	NZM01	32391.71563	32909.20013	35910.61061	38273.21075	40281.7625	41269.49429	41668.67879	42762.59008	41508.87928	41792.67727	42625.93242	43554.39314	45243.61335	45766.01386	48125.69484	50899.06653	52914.62489	54369.63102	29592.62636	31031.16847	34437.22024	37601.88646	40666.49631	42653.75867	43715.81863	45822.56307	45532.91932	46078.07434	47267.33645	49526.54411	52179.9342	54202.14872	58748.2718	62874.50523	66210.54016	68964.95444	1203.527027	1229.146182	1263.100321	1298.539481	1326.052229	1351.335518	1375.423322	1396.142996	1414.957298	1431.711559	1447.172319	1467.930774	1487.190817	1502.344636	1523.513849	1548.722217	1572.706769	1594.325077
